acct_id,fiscal_year,price_code_type,package_size,actual_events,tickets_sold,avg_seats_per_event,expected_events,event_gap,utilization_pct
161824,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
161824,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
163221,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
163639,FY23,Fixed Sophomore Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
163639,FY24,Fixed Established Subscription 12 Concert,12.0,11,22,2.0,12.0,1.0,0.9166666666666666
163639,FY24,Fixed Freshman Subscription 6 Concert,6.0,1,2,2.0,6.0,5.0,0.16666666666666666
163793,FY23,Fixed Sophomore  Subscription Sunday,4.0,4,12,2.0,4.0,0.0,1.0
163793,FY24,Fixed Established Subscription Sunday,4.0,4,12,1.5,4.0,0.0,1.0
164332,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
165344,FY23,Fixed Established Subscription 6 Concert,6.0,12,24,2.0,6.0,-6.0,2.0
165344,FY24,Fixed Established Subscription 12 Concert,12.0,12,24,2.0,12.0,0.0,1.0
165366,FY23,Fixed Established Subscription 24 Concert,24.0,23,23,1.0,24.0,1.0,0.9583333333333334
165366,FY24,Fixed Established Subscription 24 Concert,24.0,22,22,1.0,24.0,2.0,0.9166666666666666
165366,FY24,Fixed Freshman Subscription 12 Concert,12.0,1,1,1.0,12.0,11.0,0.08333333333333333
165839,FY23,Fixed Established Subscription 24 Concert,24.0,24,48,2.0,24.0,0.0,1.0
165839,FY24,Fixed Established Subscription 24 Concert,24.0,24,48,2.0,24.0,0.0,1.0
165839,FY24,Fixed Freshman Subscription 18 Concert,18.0,1,2,2.0,18.0,17.0,0.05555555555555555
166312,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
166312,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
166686,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
167885,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
167885,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
168622,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
168622,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
168886,FY23,Fixed Established Subscription 24 Concert,24.0,24,48,2.0,24.0,0.0,1.0
168886,FY24,Fixed Established Subscription 12 Concert,12.0,1,2,2.0,12.0,11.0,0.08333333333333333
168886,FY24,Fixed Sophomore Subscription 24 Concert,24.0,23,45,1.9565217391304348,24.0,1.0,0.9583333333333334
168886,FY24,Fixed Upgrade Subscription 24 Concert,24.0,1,1,1.0,24.0,23.0,0.041666666666666664
169029,FY23,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
169029,FY24,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
169766,FY23,Fixed Established Subscription 12 Concert,12.0,12,24,1.8461538461538463,12.0,0.0,1.0
169766,FY24,Fixed Established Subscription 12 Concert,12.0,12,25,1.9230769230769231,12.0,0.0,1.0
