purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
39.0,1844,945,96,71916.0,62500,0.7671253053158715,0.02263326500803947,56.44526530261559
38.5,42,22,15,1617.0,62542,0.7676408135210437,0.0005155082051722657,56.44526530261559
38.25,37,19,5,1415.25,62579,0.7680949517017908,0.0004541381807469959,56.44526530261559
38.0,205,128,25,7790.0,62784,0.7706111227032268,0.0025161710014360585,56.44526530261559
37.75,241,140,40,9098.0,63025,0.7735691578805248,0.0029580351772980004,56.44526530261559
37.0,125,60,14,4625.0,63150,0.7751034084911566,0.0015342506106317431,56.44526530261559
36.0,354,181,30,12744.0,63504,0.7794484062204656,0.004344997729309096,56.44526530261559
35.7,33,19,14,1178.1000000000001,63537,0.7798534483816725,0.00040504216120678017,56.44526530261559
35.5,1106,628,52,39263.0,64643,0.7934284977845422,0.013575049402869662,56.44526530261559
35.2,87,46,10,3062.4,64730,0.7944963362095419,0.0010678384249996932,56.44526530261559
35.0,282,147,24,9870.0,65012,0.797957605587127,0.003461269377585212,56.44526530261559
34.85,21,10,2,731.85,65033,0.7982153596897131,0.00025775410258613285,56.44526530261559
34.4,8,4,3,275.2,65041,0.7983135517287936,9.819203908043156e-05,56.44526530261559
34.0,1196,654,79,40664.0,66237,0.8129932615713181,0.014679709842524518,56.44526530261559
33.5,531,301,49,17788.5,66768,0.8195107581652817,0.006517496593963644,56.44526530261559
33.25,2,1,1,66.5,66770,0.8195353061750519,2.454800977010789e-05,56.44526530261559
33.0,2516,1349,76,83028.0,69286,0.8504167024658476,0.030881396290795723,56.44526530261559
32.8,19,9,5,623.2,69305,0.8506499085586636,0.00023320609281602493,56.44526530261559
32.5,186,96,40,6045.0,69491,0.8529328734672836,0.0022829649086200336,56.44526530261559
32.0,868,476,83,27776.0,70359,0.8635867097075105,0.010653836240226824,56.44526530261559
31.5,32,32,21,1008.0,70391,0.8639794778638322,0.0003927681563217262,56.44526530261559
31.0,312,174,64,9672.0,70703,0.867808967387969,0.0038294895241368304,56.44526530261559
30.8,18,9,7,554.4,70721,0.8680298994759,0.000220932087930971,56.44526530261559
30.75,76,35,12,2337.0,70797,0.8689627238471641,0.0009328243712640997,56.44526530261559
30.5,232,112,46,7076.0,71029,0.8718102929804966,0.002847569133332515,56.44526530261559
